"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1415","postmethod","chromium","2026-07-20","passed","2026-07-20","","playwrightAPI.spec.ts","",""
"","13319","Getmethod","chromium","2026-07-20","passed","2026-07-20","","playwrightAPI.spec.ts","",""
